                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0985,                 1.8455,                  1.264,                0.81767,                 0.7591,                0.84437,                 0.6333,                 0.8442,                  1.279,                 1.1691,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.1217,                 1.3077,                 1.2592,                0.80806,                0.72491,                0.81717,                0.58624,                0.96332,                 1.1262,                 1.2726,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.1914,                 1.2607,                 1.3101,                 0.7885,                0.67971,                0.78146,                0.55209,                 1.0318,                  1.148,                 1.3354,              0.0096016,              0.0096016,              0.0096016
                      4,                  1.227,                 1.2215,                  1.335,                0.81262,                0.71563,                0.81602,                0.58449,                 1.0165,                0.99292,                  1.329,               0.009406,               0.009406,               0.009406
                      5,                  1.186,                 1.1212,                 1.3096,                0.83492,                0.78193,                0.86442,                0.64582,                0.91305,                0.83266,                 1.2415,               0.009406,               0.009406,               0.009406
                      6,                 1.1488,                 1.0426,                 1.2826,                0.86472,                0.77457,                0.86879,                0.64979,                0.91912,                0.80033,                 1.2331,               0.009208,               0.009208,               0.009208
                      7,                 1.1103,                0.98585,                  1.261,                   0.88,                0.80237,                0.89826,                  0.686,                  0.844,                0.72416,                 1.1794,                0.00901,                0.00901,                0.00901
                      8,                 1.0929,                0.95446,                 1.2507,                0.87061,                0.79896,                0.89181,                0.69237,                0.81618,                0.70942,                 1.1667,               0.008812,               0.008812,               0.008812
                      9,                  1.072,                  0.918,                 1.2361,                0.86273,                0.83211,                0.90381,                0.70646,                0.79635,                0.68853,                 1.1473,               0.008614,               0.008614,               0.008614
                     10,                  1.052,                0.88575,                 1.2244,                0.87364,                0.81985,                0.90587,                0.71743,                0.75453,                0.67205,                 1.1215,               0.008416,               0.008416,               0.008416
