                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.949,                  1.039,                 1.2455,                0.87743,                0.85724,                0.92622,                0.78051,                 0.5996,                0.56163,                 1.0346,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.0052,                 0.8941,                 1.2745,                0.82579,                0.74908,                0.84068,                0.63616,                0.89823,                0.85284,                 1.3097,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.1177,                 1.0526,                 1.3564,                0.70529,                0.65255,                 0.7178,                0.50732,                0.96578,                 1.4241,                 1.3592,              0.0096016,              0.0096016,              0.0096016
                      4,                 1.1829,                 1.1376,                 1.4047,                0.81847,                0.76587,                0.85204,                0.64443,                0.85321,                0.83502,                   1.26,               0.009406,               0.009406,               0.009406
                      5,                  1.109,                 1.0361,                 1.3624,                0.84954,                0.77345,                0.87286,                0.67957,                0.81876,                0.75293,                 1.2181,               0.009406,               0.009406,               0.009406
                      6,                 1.0739,                0.95501,                 1.3271,                  0.877,                0.81824,                0.90062,                0.72247,                0.73159,                0.65399,                 1.1621,               0.009208,               0.009208,               0.009208
                      7,                 1.0238,                0.88408,                 1.3008,                0.87611,                0.83277,                0.90632,                0.74293,                0.68362,                0.61472,                 1.1224,                0.00901,                0.00901,                0.00901
                      8,                0.99937,                0.85243,                 1.2835,                 0.8704,                0.83063,                0.91216,                0.75671,                0.65507,                0.59232,                 1.1018,               0.008812,               0.008812,               0.008812
                      9,                0.97803,                 0.8177,                 1.2676,                0.88054,                0.84893,                0.92351,                0.77607,                0.62875,                0.55586,                  1.073,               0.008614,               0.008614,               0.008614
                     10,                0.95788,                0.78508,                 1.2511,                0.87991,                0.84867,                0.92609,                0.78146,                0.61492,                0.52497,                 1.0738,               0.008416,               0.008416,               0.008416
                     11,                0.91386,                0.76165,                 1.2355,                0.89931,                0.86065,                0.93399,                0.79197,                0.60395,                0.51845,                 1.0565,               0.008218,               0.008218,               0.008218
                     12,                0.90784,                0.73394,                 1.2205,                0.90541,                0.85681,                0.93881,                0.80597,                0.57062,                0.49526,                 1.0344,                0.00802,                0.00802,                0.00802
                     13,                0.88606,                0.71107,                 1.2007,                0.89924,                0.87075,                0.94083,                0.81086,                 0.5604,                0.47267,                 1.0292,               0.007822,               0.007822,               0.007822
                     14,                0.87224,                0.69455,                 1.1939,                0.90989,                0.86542,                0.94124,                0.81675,                0.55771,                0.47383,                 1.0255,               0.007624,               0.007624,               0.007624
                     15,                0.85244,                0.68449,                 1.1906,                0.90761,                0.86886,                0.94152,                0.82242,                0.53409,                0.45684,                 1.0153,               0.007426,               0.007426,               0.007426
                     16,                0.83309,                0.66263,                 1.1768,                0.90895,                0.87611,                0.94572,                0.82853,                0.51845,                0.44966,                 1.0021,               0.007228,               0.007228,               0.007228
                     17,                0.82936,                0.64923,                 1.1732,                0.90461,                0.87992,                0.94788,                0.83201,                0.51315,                0.44369,                0.99914,                0.00703,                0.00703,                0.00703
                     18,                0.82127,                0.64083,                 1.1637,                0.90424,                 0.8846,                0.94955,                0.83801,                0.49935,                0.43356,                0.98382,               0.006832,               0.006832,               0.006832
                     19,                0.80979,                0.62604,                 1.1555,                 0.9072,                0.89127,                0.95091,                0.83907,                0.50158,                0.41973,                0.98995,               0.006634,               0.006634,               0.006634
                     20,                0.79491,                0.61497,                 1.1474,                0.90638,                0.88455,                0.95246,                0.84406,                0.49034,                0.41557,                0.98276,               0.006436,               0.006436,               0.006436
                     21,                0.77546,                0.60258,                 1.1366,                0.90093,                0.89894,                0.95417,                0.85011,                0.47922,                0.40765,                0.97747,               0.006238,               0.006238,               0.006238
                     22,                 0.7787,                0.59942,                 1.1384,                0.90981,                0.88997,                0.95478,                0.85046,                0.48465,                0.40697,                0.97495,                0.00604,                0.00604,                0.00604
                     23,                0.75687,                0.58104,                 1.1274,                0.91363,                0.88398,                 0.9541,                0.85162,                0.47127,                 0.4007,                0.97179,               0.005842,               0.005842,               0.005842
                     24,                0.75515,                0.57546,                 1.1253,                0.91705,                0.88563,                0.95462,                0.85387,                0.47152,                0.39621,                0.96934,               0.005644,               0.005644,               0.005644
                     25,                0.74349,                0.56802,                 1.1209,                0.91412,                0.89267,                0.95551,                0.85448,                0.47068,                0.39726,                0.96864,               0.005446,               0.005446,               0.005446
                     26,                0.73495,                0.55329,                 1.1074,                 0.9145,                0.89153,                0.95626,                 0.8562,                0.46686,                  0.389,                0.96494,               0.005248,               0.005248,               0.005248
                     27,                0.71517,                0.54247,                 1.1083,                0.91427,                0.89003,                0.95668,                0.85977,                0.45828,                0.38705,                 0.9631,                0.00505,                0.00505,                0.00505
                     28,                0.71331,                0.53439,                 1.1005,                0.91111,                0.88936,                0.95649,                0.85807,                0.45721,                0.38633,                0.96402,               0.004852,               0.004852,               0.004852
                     29,                0.71637,                0.53357,                 1.1016,                0.91385,                0.88987,                0.95556,                0.86029,                0.45796,                0.38368,                  0.962,               0.004654,               0.004654,               0.004654
                     30,                0.69684,                0.51535,                 1.0878,                0.91589,                0.89382,                0.95718,                0.86148,                0.45191,                0.38087,                0.95653,               0.004456,               0.004456,               0.004456
                     31,                0.69068,                0.50784,                 1.0865,                0.91403,                0.89136,                0.95598,                0.86347,                0.44647,                0.37669,                0.95301,               0.004258,               0.004258,               0.004258
                     32,                0.68489,                0.50331,                 1.0876,                0.91203,                0.89532,                0.95631,                0.86406,                0.44601,                0.37932,                0.95531,                0.00406,                0.00406,                0.00406
                     33,                 0.6815,                0.49787,                 1.0783,                0.92219,                0.88868,                0.95577,                0.86495,                0.44294,                0.37863,                0.95302,               0.003862,               0.003862,               0.003862
                     34,                0.67481,                0.48553,                 1.0729,                 0.9205,                0.88835,                0.95627,                 0.8663,                0.44005,                0.37409,                0.95275,               0.003664,               0.003664,               0.003664
                     35,                0.66071,                0.48175,                 1.0681,                0.91676,                0.89322,                0.95652,                0.86746,                0.44064,                0.37217,                0.95407,               0.003466,               0.003466,               0.003466
                     36,                0.64968,                0.46873,                  1.057,                0.91788,                0.89171,                0.95732,                0.86768,                0.43734,                0.36992,                0.95125,               0.003268,               0.003268,               0.003268
                     37,                0.64288,                 0.4622,                 1.0555,                 0.9152,                0.89334,                0.95667,                0.86828,                0.43352,                0.36901,                0.94903,                0.00307,                0.00307,                0.00307
                     38,                0.64812,                0.45908,                 1.0496,                0.91186,                0.89648,                0.95602,                 0.8673,                0.43492,                0.36888,                0.95182,               0.002872,               0.002872,               0.002872
                     39,                0.63105,                0.44961,                 1.0478,                0.90793,                0.90003,                 0.9555,                0.86812,                0.43386,                0.36973,                 0.9507,               0.002674,               0.002674,               0.002674
                     40,                0.62235,                0.43919,                 1.0447,                0.90658,                0.90275,                0.95476,                0.86812,                0.43225,                0.36997,                0.94944,               0.002476,               0.002476,               0.002476
                     41,                0.54793,                0.32744,                0.97764,                0.91019,                0.90151,                 0.9549,                  0.869,                 0.4299,                0.36766,                0.94904,               0.002278,               0.002278,               0.002278
                     42,                0.52907,                0.31402,                0.96684,                0.91152,                0.89886,                0.95471,                0.86977,                0.43014,                0.36868,                0.94924,                0.00208,                0.00208,                0.00208
                     43,                  0.506,                0.30166,                0.95659,                0.90731,                0.90494,                0.95513,                0.87005,                0.42838,                0.36843,                0.94803,               0.001882,               0.001882,               0.001882
                     44,                0.50822,                0.29974,                0.95131,                0.90521,                0.90675,                0.95503,                0.86988,                0.42731,                0.36849,                 0.9482,               0.001684,               0.001684,               0.001684
                     45,                0.48691,                0.28541,                0.94476,                0.90522,                0.90656,                0.95462,                0.87021,                0.42651,                0.36865,                0.94909,               0.001486,               0.001486,               0.001486
                     46,                0.48551,                 0.2821,                 0.9445,                0.91445,                0.89727,                0.95348,                0.86961,                 0.4254,                0.36968,                0.95061,               0.001288,               0.001288,               0.001288
                     47,                0.47728,                0.27434,                0.93818,                0.91383,                0.89796,                0.95387,                0.87067,                0.42421,                0.37092,                0.95143,                0.00109,                0.00109,                0.00109
                     48,                0.46347,                0.26631,                0.93242,                0.91408,                 0.8968,                0.95383,                0.87197,                  0.424,                0.37149,                0.95267,               0.000892,               0.000892,               0.000892
                     49,                0.45713,                0.26065,                0.93081,                0.91091,                0.90106,                0.95328,                0.87214,                0.42319,                0.37232,                0.95316,               0.000694,               0.000694,               0.000694
                     50,                0.44513,                0.25231,                0.92189,                0.91376,                0.89813,                 0.9532,                0.87208,                0.42337,                 0.3728,                0.95412,               0.000496,               0.000496,               0.000496
